ZONE_TYPE,ZONE_CLASS,EDIT_STATU,EDIT_DATE,PD_PREFIX,PD_NUM,ORDINANCE_,ORDINANCE1
2,C1-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
2,C2-3,ACTIVE,,,0,,
5,PD 787,ACTIVE,,RB,787,,
1,B3-2,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
7,DX-16,ACTIVE,,,0,,
5,PD 563,ACTIVE,,B,563,,
5,PD 404,ACTIVE,,B,404,,
5,PD 428,ACTIVE,,B,428,,
5,PD 387,ACTIVE,,R,387,,
5,PD 521,ACTIVE,,B,521,,
5,PD 324,ACTIVE,,B,324,,
5,PD 768,ACTIVE,,B,768,,
5,PD 703,ACTIVE,,RB,703,,
5,PD 377,ACTIVE,,B,377,,
5,PD 476,ACTIVE,,CAP,476,,
5,PD 332,ACTIVE,,CAP,332,,
5,PD 487,ACTIVE,,B,487,,
5,PD 479,ACTIVE,,RB,479,,
7,DX-12,ACTIVE,,,0,,
5,PD 173,ACTIVE,,RB,173,,
1,B1-2,ACTIVE,,,0,,
3,M1-1,ACTIVE,,,0,,
5,PD 632,ACTIVE,,R,632,,
4,RT-4,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
5,PD 709,ACTIVE,04/21/04,BRW,709,,
7,DX-5,ACTIVE,11/17/04,,0,A5435,09/15/04
4,RT-4,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
1,B1-2,ACTIVE,,,0,,
5,PD 385,ACTIVE,,R,385,,
5,PD 780,ACTIVE,,R,780,,
5,PD 710,ACTIVE,,RB,710,,
3,M2-3,ACTIVE,,,0,,
2,C1-5,ACTIVE,,,0,,
5,PD 543,ACTIVE,,B,543,,
5,PD 426,ACTIVE,,B,426,,
